字彙	詞類	中文	註解	級數	學術字彙
leak	verb/noun	滲漏、走漏；漏洞		Intermediate	
lean	verb	傾斜、倚靠		Intermediate	
lean	adj.	瘦(肉)的		Intermediate	
leap	verb/noun	跳躍、巨變、激增		Intermediate	
learn	verb	學習		Elementary	
learned	adj.	有學問的		Intermediate	
learner	noun	學習者		Intermediate	
learning	noun	學識、學習		Intermediate	
lease	noun/verb	租約；租借、出租		High-Intermediate	
least	adv./adj./pron./noun	最少、最小		Elementary	
leather	noun	皮革		Intermediate	
leave	verb/noun	離開；假期		Elementary	
lecture	noun/verb	講課；演講		Intermediate	L6
lecturer	noun	演講者、講師		Intermediate	
lee	noun/adj.	背風處、避風處		High-Intermediate	
left	noun/adv.	左邊、左側；向左		Elementary	
left	adj.	左邊的、左側的、剩下的		Elementary	
left-hand	adj.	左手的、左邊的		Elementary	
left-wing	adj./noun	左翼、左派		High-Intermediate	
leg	noun	腿		Elementary	
legacy	noun	遺產、遺贈物		High-Intermediate	
legal	adj.	合法的		Elementary	L1
legend	noun	傳奇、傳奇人物		Intermediate	
legendary	adj.	傳奇的		Intermediate	
legislation	noun	法規、法律		High-Intermediate	
legislative	adj.	立法的、制定法律的		High-Intermediate	
legislator	noun	立法者、立法委員		High-Intermediate	
legislature	noun	立法機關		High-Intermediate	
legitimate	adj.	正當合理的；合法的		High-Intermediate	
leisure	noun	閒暇、休閒		Intermediate	
leisurely	adj./adv.	悠閒從容的/地		Intermediate	
lemon	noun	檸檬		Elementary	
lemonade	noun	檸檬水		Intermediate	
lend	verb	把…借給		Elementary	
length	noun	長度		Elementary	
lengthen	verb	加長		Intermediate	
lengthy	adj.	長時間的、過長的		High-Intermediate	
lens	noun	鏡片		Intermediate	
leopard	noun	豹		Intermediate	
lesbian	adj./noun	女同性戀者的；女同性戀		High-Intermediate	
less	adv./pron.	較少(地)		Elementary	
lessen	verb	使降低、使減少		High-Intermediate	
lesser	adj.	較小的、次要的		High-Intermediate	
lesson	noun	課程		Elementary	
lest	conj.	免得、以免		High-Intermediate	
let	verb	讓		Elementary	
lethal	adj.	致命的、具殺傷力的		High-Intermediate	
letter	noun	信		Elementary	
lettuce	noun	萵苣		Elementary	
level	noun	水準		Elementary	
level	adj.	水平的		Elementary	
lever	noun/verb	控制桿；（用槓桿）撬動		High-Intermediate	
levy	noun/verb	稅款；徵稅		High-Intermediate	L10
liability	noun	（法律上對某事物的）責任		High-Intermediate	
liable	adj.	可能（做某事）；負有償付責任		High-Intermediate	
liar	noun	撒謊者		Intermediate	
libel	noun/verb	（文字）誹謗		High-Intermediate	
liberal	adj./noun	開明的、自由的；自由主義者		Intermediate	L5
liberalize	verb	使自由化、放寬對…的限制		High-Intermediate	
liberate	verb	解放		Intermediate	
liberation	noun	解放		High-Intermediate	
liberty	noun	自由		Intermediate	
librarian	noun	圖書館員		Intermediate	
library	noun	圖書館		Elementary	
license	verb/noun	發許可證；執照	= licence (British English)	Intermediate	
lick	verb/noun	舔		Elementary	
lid	noun	蓋子；眼瞼		Elementary	
lie 	verb	躺下、橫臥、擺放		Elementary	
lie 	noun/verb	謊言；說謊		Elementary	
lieutenant	noun	中尉、上尉		High-Intermediate	
life	noun	生命、生活		Elementary	
lifeboat	noun	救生船		High-Intermediate	
lifeguard	noun	救生員		High-Intermediate	
lifelong	adj.	終身的、畢生的		High-Intermediate	
lifestyle	noun	生活方式		Intermediate	
lifetime	noun	一生		Intermediate	
lift	verb	舉起		Elementary	
lift	noun	舉、順道搭載		Elementary	
light 	noun/verb/adj.	光、燈；點燃、照亮；明亮的		Elementary	
light 	adj./adv.	輕(便)、明亮、(顏色)淺、少量		Elementary	
lighten	verb	變亮、照亮；減輕		Intermediate	
lighthouse	noun	燈塔		Intermediate	
lighting	noun	照明設備、光線、燈光		High-Intermediate	
lightning	noun	閃電		Elementary	
lightweight	adj./noun	輕量的；輕量級拳擊手、無影響力的人		High-Intermediate	
like	prep.	像、如		Elementary	
like	verb	喜歡、想要		Elementary	
likelihood	noun	可能、可能性		High-Intermediate	
likely	adj./adv.	很可能		Elementary	
likewise	adv.	同樣地、類似地、也		High-Intermediate	L10
lily	noun	百合花		Intermediate	
limb	noun	肢、臂、大樹枝		Intermediate	
lime	noun	酸橙、萊姆		High-Intermediate	
limit	verb/noun	限制		Elementary	
limitation	noun	限制		Intermediate	
limousine	noun	豪華轎車	= limo	High-Intermediate	
limp	verb/noun	跛行		High-Intermediate	
limp	adj.	無力的、無精神的		High-Intermediate	
line	noun/verb	行列；排隊		Elementary	
linear	adj.	直線的、線性的		High-Intermediate	
linen	noun	亞麻布		Intermediate	
liner	noun	郵輪、襯裡		High-Intermediate	
lineup	noun	陣容、節目安排		High-Intermediate	
linger	verb	繼續存留		High-Intermediate	
linguist	noun	通曉外語的人、語言學家		High-Intermediate	
lining	noun	內襯、襯裡		High-Intermediate	
link	noun/verb	連結		Elementary	L3
lion	noun	獅子		Elementary	
lip	noun	唇		Elementary	
lipstick	noun	口紅		Intermediate	
liquid	noun/adj.	液體；液態的、流動的		Elementary	
liquor	noun	酒精飲料、烈酒	= spirits (British English)	Intermediate	
list	noun/verb	名單；列入名單		Elementary	
listen	verb	聽		Elementary	
listener	noun	聽者		Intermediate	
liter	noun	公升	= litre (British English)	Elementary	
literacy	noun	讀寫能力		High-Intermediate	
literal	adj.	字面意義的、缺乏想像力的		High-Intermediate	
literally	adv.	字面上、確實地		High-Intermediate	
literary	adj.	文學的		Intermediate	
literate	adj.	有讀寫能力的、有文化的		High-Intermediate	
literature	noun	文學		Intermediate	
litter	noun/verb	垃圾；亂扔、使凌亂		Intermediate	
little	adj./pron./adv.	小的；少		Elementary	
live	adj.	實況的、現場演出的、活的		Intermediate	
live 	verb	活		Elementary	
live-in	adj.	住在工作場所的、未婚同居者		High-Intermediate	
lively	adj.	精力充沛的		Intermediate	
liver	noun	肝臟		Intermediate	
livestock	noun	牲畜、家畜		High-Intermediate	
living	noun/adj.	生計、收入；活著的、在使用的		High-Intermediate	
living room	noun	客廳		Elementary	
lizard	noun	蜥蜴		High-Intermediate	
llama	noun	美洲駝		High-Intermediate	
load	noun/verb	負載（量）；裝載		Intermediate	
loaded	adj.	滿的、富有的、意味深長的		High-Intermediate	
loaf	noun	一條（塊）包		Elementary	
loan	noun/verb	貸款、借款；借出、貸與		Intermediate	
lobby	noun	大廳		Intermediate	
lobster	noun	龍蝦		Intermediate	
local	adj./noun	當地的；本地人		Elementary	
locality	noun	地區、地點		High-Intermediate	
locate	verb	位於、確定位置		Intermediate	L3
location	noun	地點、位置		Intermediate	
lock	verb/noun	鎖上；鎖		Elementary	
locked	adj.	鎖住的、陷入困境、爭執的		High-Intermediate	
locker	noun	寄物櫃		Intermediate	
locomotive	noun	移動的、運動的		High-Intermediate	
locomotive	adj.	機車、火車頭		High-Intermediate	
locust	noun	蝗蟲		High-Intermediate	
lodge	noun/verb	鄉間小屋；（向當局）正式提出（聲明等）		High-Intermediate	
lofty	adj.	（建築、山）高聳的、（思想）崇高的		High-Intermediate	
log	noun/verb	原木；伐木		Intermediate	
logic	noun	邏輯		Intermediate	L5
logical	adj.	按照邏輯的、合乎情理的		Intermediate	
logo	noun	（公司或機構的）標誌、標識		High-Intermediate	
lollipop	noun	棒棒糖		High-Intermediate	
lone	adj.	獨自的、單親的		High-Intermediate	
loneliness	noun	寂寞		Intermediate	
lonely	adj.	寂寞的		Elementary	
lonesome	adj.	孤獨的、寂寞的、人煙稀少的		High-Intermediate	
long	verb	渴望、期盼		Intermediate	
long 	adj./adv.	長的、久的；長久地		Elementary	
longevity	noun	長壽、持久		High-Intermediate	
longitude	noun	經度		High-Intermediate	
long-standing	adj.	存在已久的、悠久的		Intermediate	
long-term	adj.	長期的		Intermediate	
longtime	adj.	為時甚久的		High-Intermediate	
look	verb/noun	看		Elementary	
loom	noun	織布機		High-Intermediate	
loom	verb	赫然聳現、逼近		High-Intermediate	
loop	noun/verb	環、圈、環狀物；繞圈		Intermediate	
loose	adj.	鬆的、鬆動的		Intermediate	
loosen	verb	鬆開、變鬆		Intermediate	
loot	verb/noun	（暴動、火災後）打劫；戰利品		High-Intermediate	
lord	noun	君主、領主		Intermediate	
lorry	noun	卡車	= truck (American English)	Intermediate	
lose	verb	失去、輸		Elementary	
loser	noun	失敗者		Elementary	
loss	noun	損失		Elementary	
lost	adj.	迷路的、失去的、不知所措的		High-Intermediate	
lot	noun	多量、一批、一塊地		Elementary	
lotion	noun	護膚乳液		Intermediate	
lottery	noun	彩票抽獎		High-Intermediate	
lotus	noun	蓮花		High-Intermediate	
loud	adj./adv.	大聲的；大聲地		Elementary	
loudspeaker	noun	擴音器、喇叭		Intermediate	
lounge	noun/verb	等候室；懶洋洋地站（或坐、躺）		High-Intermediate	
lousy	adj.	極糟的、討厭的		Intermediate	
love	verb/noun	愛		Elementary	
lovely	adj.	美好的		Elementary	
lover	noun	愛好者		Elementary	
low	adj.	低的		Elementary	
lower	verb	減少、縮小、放低		Intermediate	
loyal	adj.	忠誠的		Intermediate	
loyalty	noun	忠誠		Intermediate	
lubricate	verb	給…上潤滑油		High-Intermediate	
luck	noun	運氣		Elementary	
lucky	adj.	幸運的		Elementary	
lucrative	adj.	賺大錢的、獲利多的		High-Intermediate	
luggage	noun	行李		Intermediate	
lullaby	noun	搖籃曲		Intermediate	
lumber	noun	木材、木料		High-Intermediate	
lumber	verb	採伐林木、緩慢笨拙行進、迫使擔負職責		High-Intermediate	
luminous	adj.	發亮的、鮮豔的		High-Intermediate	
lump	noun/verb	塊、隆起；把…合併一起		High-Intermediate	
lunar	adj.	陰曆的、月亮的		Intermediate	
lunatic	noun/adj.	精神錯亂者；瘋狂的、可笑的		High-Intermediate	
lunch	noun	午餐		Elementary	
lunchtime	noun	午餐時間		High-Intermediate	
lung	noun	肺		Intermediate	
lure	verb/noun	引誘、誘惑		High-Intermediate	
lush	adj.	(植物)茂盛的、繁茂的		High-Intermediate	
luxurious	adj.	豪華的、奢侈的		Intermediate	
luxury	noun	奢侈(品)		Intermediate	
lychee	noun	荔枝	= litchi 荔枝	Intermediate	
lynch	verb	用私刑處死		High-Intermediate	
lyric	adj./noun	抒情的；抒情詩		High-Intermediate	
ma'am	noun	夫人		Elementary	
machine	noun	機器		Elementary	
machinery	noun	機器、機制		Intermediate	
mad	adj.	瘋狂的、生氣的		Elementary	
madam	noun	夫人、女士		Intermediate	
made-up	adj.	化妝的、不真實的、編造的		High-Intermediate	
mafia	noun	小幫派、社會黑幫		High-Intermediate	
magazine	noun	雜誌		Elementary	
magic	adj./noun.	有魔力的；魔術		Elementary	
magical	adj.	魔術的、奇妙的		Intermediate	
magician	noun	魔術師		Elementary	
magistrate	noun	地方執法官		High-Intermediate	
magnet	noun	磁鐵		Intermediate	
magnetic	adj.	有磁性的、磁鐵的		Intermediate	
magnificent	adj.	壯麗的		Intermediate	
magnify	verb	放大、增強		High-Intermediate	
magnitude	noun	重大、重要性		High-Intermediate	
maid	noun	女僕、少女		Intermediate	
maiden	noun	未婚女子		High-Intermediate	
maiden	adj.	初次的		High-Intermediate	
mail	noun/verb	郵件；郵寄		Elementary	
mail carrier		郵差	=mailman = postman (British English)	Elementary	
main	adj.	主要的		Elementary	
mainland	noun	大陸、本土		Intermediate	
mainstream	noun	(思想或行為的)主流		High-Intermediate	
maintain	verb	維持		Elementary	L2
maintenance	noun	維護、保養		High-Intermediate	
majestic	adj.	雄偉壯觀的		High-Intermediate	
majesty	noun	雄偉壯觀、莊嚴		High-Intermediate	
major	adj.	主要的		Elementary	L1
major	noun/verb	主修科目、主修生；主修		Elementary	L1
majority	noun	大多數		Intermediate	
make	verb	做		Elementary	
maker	noun	製作者		Intermediate	
makeup	noun	化妝品、構成		Intermediate	
making	noun	生產、製造		High-Intermediate	
malaria	noun	瘧疾		High-Intermediate	
male	adj./noun	男性(的)		Elementary	
mall	noun	購物中心		Elementary	
mammal	noun	哺乳動物		High-Intermediate	
man	noun	男人		Elementary	
manage	verb	設法解決、管理		Intermediate	
manageable	adj.	可處理的		Intermediate	
management	noun	管理、經營		Intermediate	
manager	noun	負責人、經理		Elementary	
Mandarin	noun	中文(國語)		Elementary	
mandate	noun	(政府或官員經選舉而獲得的)授權		High-Intermediate	
mandate	verb	強制執行		High-Intermediate	
maneuver	verb/noun	操縱、控制；策略、花招、軍事演習	= manoeuvre (British English)	High-Intermediate	
mango	noun	芒果		Elementary	
manifest	adj./verb	明顯的；表明(尤指態度、品質)		High-Intermediate	
manifest	noun	（船或飛機的）貨單、旅客名單		High-Intermediate	
manifesto	noun	宣言		High-Intermediate	
manipulate	verb	操縱、控制(某人的思想和行為)		High-Intermediate	L8
mankind	noun	人類		Intermediate	
man-made	adj.	人造的		Intermediate	
manner	noun	禮貌（多使用複數形態）、方式、態度		Elementary	
mansion	noun	大廈、宅第		Intermediate	
manual	noun/adj.	手冊、導覽；用手的、手工的		Intermediate	L9
manufacture	verb/noun	大量製造；生產		Intermediate	
manufacturer	noun	生產者、製造商		Intermediate	
manuscript	noun	手稿、底稿		High-Intermediate	
many	adj./pron.	許多（的）		Elementary	
map	noun	地圖		Elementary	
maple	noun	楓樹		High-Intermediate	
mar	verb	破壞、損毀		High-Intermediate	
marathon	noun	馬拉松		Intermediate	
marble	noun	大理石		Intermediate	
march	verb/noun	行進、行軍；示威遊行、持續的發展		Intermediate	
March	noun	三月	= Mar.	Elementary	
mare	noun	母馬、母驢		High-Intermediate	
margin	noun	邊緣、差距		Intermediate	L5
marginal	adj./noun	邊緣的；(議會的)邊緣席位		High-Intermediate	L5
marine	noun/adj.	海軍陸戰隊士兵；海的		High-Intermediate	
mark	verb	標記		Elementary	
mark	noun	分數		Elementary	
marked	adj.	明顯的、顯著的		High-Intermediate	
marker	noun	標誌；麥克筆、彩色筆		Elementary	
market	noun/verb	市場；行銷、銷售		Elementary	
marketing	noun	促銷、銷售		High-Intermediate	
marriage	noun	婚姻		Elementary	
marry	verb	結婚		Elementary	
marsh	noun	溼地、沼澤		High-Intermediate	
marshal	verb/noun	結集、維持秩序；執行官		High-Intermediate	
martial	adj.	軍事的、戰爭的		High-Intermediate	
marvel	noun/verb	令人驚異的人事；感到驚奇		High-Intermediate	
marvelous	adj.	非凡的、很棒的	= marvellous (British English)	Elementary	
masculine	adj.	男人的、男子漢的		High-Intermediate	
mash	noun/verb	（煮軟的）穀物飼料；搗碎（食物）		High-Intermediate	
